Sentence #	Word	Lemma	Pos	Tag
	definisati	definisati	Vmn	O
	državna	državni	Agpfsny	O
	strategija	strategija	Ncfsn	O
	po	po	Sl	O
	tom	taj	Pd-nsl	O
	pitanju	pitanje	Ncnsl	O
	,	,	Z	O
	ali	ali	Cc	O
	da	da	Cs	O
	strateški	strateški	Agpmpny	O
	ciljevi	cilj	Ncmpn	O
	Makedonije	Makedonija	Npfsg	B-loc
	moraju	morati	Vmr3p	O
	ostati	ostati	Vmn	O
	nepromenjeni	nepromenjen	Agpmpny	O
	.	.	Z	O
Sentence: 241	To	taj	Pd-nsn	O
	je	biti	Var3s	O
	ponovio	ponoviti	Vmp-sm	O
	i	i	Cc	O
	premijer	premijer	Ncmsn	O
	Nikola	Nikola	Npmsn	B-per
	Gruevski	Gruevski	Npmsn	I-per
	.	.	Z	O
Sentence: 242	"	"	Z	O
	Preduzećemo	preduzeti	Vmf1p	O
	korake	korak	Ncmpa	O
	koji	koji	Pi-mpn	O
	će	hteti	Var3s	O
	na	na	Sa	O
	pozitivan	pozitivan	Agpmsann	O
	način	način	Ncmsan	O
	predvideti	predvideti	Vmn	O
	i	i	Cc	O
	šire	širok	Agcfpay	O
	konsultacije	konsultacija	Ncfpa	O
	sa	sa	Si	O
	stručnjacima	stručnjak	Ncmpi	O
	u	u	Sl	O
	domenu	domen	Ncmsl	O
	politike	politika	Ncfsg	O
	i	i	Cc	O
	drugih	drugi	Mlofpg	O
	javnih	javan	Agpfpgy	O
	sfera	sfera	Ncfpg	O
	"	"	Z	O
	,	,	Z	O
	rekao	reći	Vmp-sm	O
	je	biti	Var3s	O
	on	on	Pp3msn	O
	.	.	Z	O
Sentence: 243	Makedonija	Makedonija	Npfsn	B-loc
	je	biti	Var3s	O
	planirala	planirati	Vmp-sf	O
	da	da	Cs	O
	pojača	pojačati	Vmr3s	O
	napore	napor	Ncmpa	O
	da	da	Cs	O
	stavi	staviti	Vmr3s	O
	tačku	tačka	Ncfsa	O
	na	na	Sa	O
	taj	taj	Pd-msan	O
	spor	spor	Ncmsan	O
	.	.	Z	O
Sentence: 244	Pomoćnik	pomoćnik	Ncmsn	O
	američkog	američki	Agpmsgy	O
	državnog	državni	Agpmsgy	O
	sekretara	sekretar	Ncmsg	O
	Danijel	Danijel	Npmsn	B-per
	Frid	Frid	Npmsn	I-per
	kontaktirao	kontaktirati	Vmp-sm	O
	je	biti	Var3s	O
	šeficu	šefica	Ncfsa	O
	grčke	grčki	Agpfsgy	O
	diplomatije	diplomatija	Ncfsg	O
	Doru	Dora	Npfsa	B-per
	Bakojanis	Bakojanis	Npfsa	I-per
	u	u	Sa	O
	ponedeljak	ponedeljak	Ncmsan	O
	,	,	Z	O
	radi	radi	Sg	O
	razgovora	razgovor	Ncmsg	O
	o	o	Sl	O
	tome	taj	Pd-nsl	O
	da	da	Cs	O
	li	li	Qq	O
	bi	biti	Vaa3s	O
	se	sebe	Px--sa	O
	Atina	Atina	Npfsn	B-loc
	složila	složiti	Vmp-sf	O
	sa	sa	Si	O
	nastavkom	nastavak	Ncmsi	O
	pregovora	pregovor	Ncmpg	O
	.	.	Z	O
Sentence: 245	Frid	Frid	Npmsn	B-per
	je	biti	Var3s	O
	razgovarao	razgovarati	Vmp-sm	O
	i	i	Cc	O
	sa	sa	Si	O
	makedonskim	makedonski	Agpmpiy	O
	liderima	lider	Ncmpi	O
	i	i	Cc	O
	izaslanikom	izaslanik	Ncmsi	O
	UN-a	UN	Npmsg	B-org
	Metjuom	Metju	Npmsi	B-per
	Nimicom	Nimic	Npmsi	I-per
	.	.	Z	O
Sentence: 246	U	u	Sa	O
	ponedeljak	ponedeljak	Ncmsan	O
	,	,	Z	O
	Gruevski	Gruevski	Npmsn	B-per
	se	sebe	Px--sa	O
	sastao	sastati	Vmp-sm	O
	sa	sa	Si	O
	vođama	vođa	Ncmpi	O
	najvećih	velik	Agsfpgy	O
	političkih	politički	Agpfpgy	O
	stranaka	stranka	Ncfpg	O
	da	da	Cs	O
	bi	biti	Vaa3s	O
	razgovarao	razgovarati	Vmp-sm	O
	o	o	Sl	O
	tom	taj	Pd-nsl	O
	pitanju	pitanje	Ncnsl	O
	.	.	Z	O
Sentence: 247	On	on	Pp3msn	O
	je	biti	Var3s	O
	rekao	reći	Vmp-sm	O
	da	da	Cs	O
	će	hteti	Var3s	O
	zatražiti	zatražiti	Vmn	O
	od	od	Sg	O
	strana	strana	Ncfpg	O
	u	u	Sl	O
	sporu	spor	Ncmsl	O
	da	da	Cs	O
	javno	javno	Rgp	O
	potvrde	potvrditi	Vmr3p	O
	da	da	Cs	O
	li	li	Qq	O
	prihvataju	prihvatati	Vmr3p	O
	neke	neki	Pi-fpn	O
	od	od	Sg	O
	Nimicovih	Nimicov	Aspmpgy	B-deriv-per
	predloga	predlog	Ncmpg	O
	.	.	Z	O
Sentence: 248	Međutim	međutim	Rgp	O
	,	,	Z	O
	stabilnost	stabilnost	Ncfsn	O
	vlade	vlada	Ncfsg	O
	je	biti	Var3s	O
	dovedena	dovesti	Appfsny	O
	u	u	Sa	O
	pitanje	pitanje	Ncnsa	O
	,	,	Z	O
	pošto	pošto	Cs	O
	se	sebe	Px--sa	O
	očekuje	očekivati	Vmr3s	O
	da	da	Cs	O
	manjinska	manjinski	Agpfsny	O
	albanska	albanski	Agpfsny	O
	stranka	stranka	Ncfsn	O
	u	u	Sl	O
	vladajućoj	vladajući	Agpfsly	O
	koaliciji	koalicija	Ncfsl	O
	zatraži	zatražiti	Vmr3s	O
	prevremene	prevremen	Agpmpay	O
	izbore	izbor	Ncmpa	O
	.	.	Z	O
Sentence: 249	Američki	američki	Agpmsny	O
	predsednik	predsednik	Ncmsn	O
	Džordž	Džordž	Npmsn	B-per
	V.	V.	Y	I-per
	Buš	Buš	Npmsn	I-per
	,	,	Z	O
	koji	koji	Pi-msn	O
	se	sebe	Px--sa	O
	sastao	sastati	Vmp-sm	O
	sa	sa	Si	O
	Crvenkovskim	Crvenkovski	Npmsi	B-per
	u	u	Sl	O
	Hrvatskoj	Hrvatska	Npfsl	B-loc
	tokom	tokom	Sg	O
	vikenda	vikend	Ncmsg	O
	,	,	Z	O
	ponovio	ponoviti	Vmp-sm	O
	je	biti	Var3s	O
	podršku	podrška	Ncfsa	O
	kandidaturi	kandidatura	Ncfsd	O
	Makedonije	Makedonija	Npfsg	B-loc
	za	za	Sa	O
	NATO	NATO	Npmsan	B-org
	.	.	Z	O
Sentence: 250	Govoreći	govoriti	Rr	O
	u	u	Sl	O
	Zagrebu	Zagreb	Npmsl	B-loc
	,	,	Z	O
	Buš	Buš	Npmsn	B-per
	je	biti	Var3s	O
	izrazio	izraziti	Vmp-sm	O
	žaljenje	žaljenje	Ncnsa	O
	što	što	Pi3n-n	O
	Makedonija	Makedonija	Npfsn	B-loc
	nije	biti	Var3s	O
	dobila	dobiti	Vmp-sf	O
	poziv	poziv	Ncmsan	O
	za	za	Sa	O
	ulazak	ulazak	Ncmsan	O
	u	u	Sa	O
	NATO	NATO	Npmsan	B-org
	.	.	Z	O
Sentence: 251	On	on	Pp3msn	O
	je	biti	Var3s	O
	pohvalio	pohvaliti	Vmp-sm	O
	doprinos	doprinos	Ncmsan	O
	makedonskih	makedonski	Agpmpgy	O
	vojnika	vojnik	Ncmpg	O
	koji	koji	Pi-mpn	O
	služe	služiti	Vmr3p	O
	u	u	Sl	O
	misijama	misija	Ncfpl	O
	u	u	Sl	O
	inostranstvu	inostranstvo	Ncnsl	O
	i	i	Cc	O
	izrazio	izraziti	Vmp-sm	O
	nadu	nada	Ncfsa	O
	da	da	Cs	O
	će	hteti	Var3s	O
	Makedonija	Makedonija	Npfsn	B-loc
	postati	postati	Vmn	O
	članica	članica	Ncfsn	O
	NATO	NATO	Npmsn	B-org
	odmah	odmah	Rgp	O
	po	po	Sl	O
	rešenju	rešenje	Ncnsl	O
	spora	spor	Ncmsg	O
	oko	oko	Sg	O
	imena	ime	Ncnsg	O
	.	.	Z	O
Sentence: 252	"	"	Z	O
	Ono	on	Pp3nsn	O
	što	što	Pi3n-n	O
	je	biti	Var3s	O
	sigurno	siguran	Agpnsny	O
	je	biti	Var3s	O
	da	da	Cs	O
	mi	mi	Pp1-pn	O
	želimo	želeti	Vmr1p	O
	da	da	Cs	O
	se	sebe	Px--sa	O
	proces	proces	Ncmsn	O
	nastavi	nastaviti	Vmr3s	O
	,	,	Z	O
	pod	pod	Si	O
	okriljem	okrilje	Ncnsi	O
	UN	UN	Npmsn	B-org
	,	,	Z	O
	tako	tako	Cs	O
	da	da	Cs	O
	se	sebe	Px--sa	O
	pronađe	pronaći	Vmr3s	O
	obostrano	obostran	Agpnsny	O
	prihvatljivo	prihvatljiv	Agpnsny	O
	rešenje	rešenje	Ncnsn	O
	"	"	Z	O
	,	,	Z	O
	rekao	reći	Vmp-sm	O
	je	biti	Var3s	O
	portparol	portparol	Ncmsn	O
	grčke	grčki	Agpfsgy	O
	vlade	vlada	Ncfsg	O
	.	.	Z	O
Sentence: 253	Borba	borba	Ncfsn	O
	vlasti	vlast	Ncfsg	O
	u	u	Sl	O
	BiH	BiH	Npmsn	B-loc
	protiv	protiv	Sg	O
	terorizma	terorizam	Ncmsg	O
Sentence: 254	Policija	policija	Ncfsn	O
	u	u	Sl	O
	BiH	BiH	Npmsn	B-loc
	saopštila	saopštiti	Vmp-sf	O
	je	biti	Var3s	O
	da	da	Cs	O
	je	biti	Var3s	O
	grupa	grupa	Ncfsn	O
	osumnjičenih	osumnjičen	Agpmpgy	O
	povezana	povezati	Appfsny	O
	sa	sa	Si	O
	Vehabijama	vehabija	Ncfpi	B-org
	planirala	planirati	Vmp-sf	O
	da	da	Cs	O
	izazove	izazvati	Vmr3s	O
	međunacionalne	međunacionalni	Agpmpay	O
	sukobe	sukob	Ncmpa	O
	napadom	napad	Ncmsi	O
	na	na	Sa	O
	katoličke	katolički	Agpfpay	O
	crkve	crkva	Ncfpa	O
	.	.	Z	O
Sentence: 255	Antiterorističke	antiteroristički	Agpfpny	O
	jedinice	jedinica	Ncfpn	O
	ministarstva	ministarstvo	Ncnsg	B-org
	unutrašnjih	unutrašnji	Agpmpgy	I-org
	poslova	posao	Ncmpg	I-org
	BiH	BiH	Npmsn	I-org
	izvršile	izvršiti	Vmp-pf	O
	su	biti	Var3p	O
	dve	dva	Mlcf-n	O
	racije	racija	Ncfsg	O
	proteklih	protekao	Agpfpgy	O
	nedelja	nedelja	Ncfpg	O
	.	.	Z	O
Sentence: 256	Službe	služba	Ncfpn	O
	za	za	Sa	O
	sprovođenje	sprovođenje	Ncnsa	O
	zakona	zakon	Ncmpg	O
	u	u	Sl	O
	Bosni	Bosna	Npfsl	B-loc
	i	i	Cc	I-loc
	Hercegovini	Hercegovina	Npfsl	I-loc
	(	(	Z	O
	BiH	BiH	Npmsn	B-loc
	)	)	Z	O
	izvršile	izvršiti	Vmp-pf	O
	su	biti	Var3p	O
	nedavno	nedavno	Rgp	O
	seriju	serija	Ncfsa	O
	racija	racija	Ncfpg	O
	u	u	Sl	O
	kojima	koji	Pi-fpl	O
	su	biti	Var3p	O
	privele	privesti	Vmp-pf	O
	osumnjičene	osumnjičen	Agpmpay	O
	teroriste	terorista	Ncmpa	O
	.	.	Z	O
Sentence: 257	U	u	Sa	O
	petak	petak	Ncmsan	O
	(	(	Z	O
	4.	4.	Mdo	O
	aprila	april	Ncmsg	O
	)	)	Z	O
	uhapšena	uhapsiti	Appfsny	O
	je	biti	Var3s	O
	još	još	Rgp	O
	uvek	uvek	Rgp	O
	neidentifikovana	neidentifikovan	Agpfsny	O
	osoba	osoba	Ncfsn	O
	zbog	zbog	Sg	O
	navodne	navodni	Agpfsgy	O
	povezanosti	povezanost	Ncfsg	O
	sa	sa	Si	O
	terorizmom	terorizam	Ncmsi	O
	.	.	Z	O
Sentence: 258	Ministarstvo	ministarstvo	Ncnsn	B-org
	unutrašnjih	unutrašnji	Agpmpgy	I-org
	poslova	posao	Ncmpg	I-org
	saopštilo	saopštiti	Vmp-sn	O
	je	biti	Var3s	O
	da	da	Cs	O
	su	biti	Var3p	O
	kod	kod	Sg	O
	tog	taj	Pd-nsg	O
	lica	lice	Ncnsg	O
	pronađeni	pronaći	Appmpny	O
	oružje	oružje	Ncnsn	O
	i	i	Cc	O
	eksploziv	eksploziv	Ncmsan	O
	za	za	Sa	O
	korišćenje	korišćenje	Ncnsa	O
	u	u	Sl	O
	terorističkim	teroristički	Agpfply	O
	akcijama	akcija	Ncfpl	O
	.	.	Z	O
Sentence: 259	Policija	policija	Ncfsn	O
	je	biti	Var3s	O
	pretražila	pretražiti	Vmp-sf	O
	još	još	Rgp	O
	dve	dva	Mlcf-a	O
	lokacije	lokacija	Ncfsg	O
	u	u	Sl	O
	sarajevskim	sarajevski	Agpmply	O
	kvartovima	kvart	Ncmpl	O
	Sedrenik	Sedrenik	Npmsn	B-loc
	i	i	Cc	O
	Barice	barica	Npfpn	B-loc
	,	,	Z	O
	gde	gde	Cs	O
	su	biti	Var3p	O
	pronašli	pronaći	Vmp-pm	O
	materijal	materijal	Ncmsan	O
	za	za	Sa	O
	proizvodnju	proizvodnja	Ncfsa	O
	eksploziva	eksploziv	Ncmsg	O
	.	.	Z	O
Sentence: 260	Pronađene	pronaći	Appfpny	O
	su	biti	Var3p	O
	i	i	Cc	O
	jedna	jedan	Mlcfsn	O
	ručna	ručni	Agpfsny	O
	bomba	bomba	Ncfsn	O
	,	,	Z	O
	municija	municija	Ncfsn	O
	i	i	Cc	O
	drugo	drugi	Mlonsn	O
	naoružanje	naoružanje	Ncnsn	O
	.	.	Z	O
Sentence: 261	Bila	biti	Vap-sf	O
	je	biti	Var3s	O
	to	taj	Pd-nsn	O
	druga	drugi	Mlofsn	O
	antiteroristička	antiteroristički	Agpfsny	O
	akcija	akcija	Ncfsn	O
	izvedena	izvesti	Appfsny	O
	u	u	Sa	O
	proteklih	protekao	Agpfpgy	O
	nekoliko	nekoliko	Rgp	O
	nedelja	nedelja	Ncfpg	O
	po	po	Sl	O
	naredbi	naredba	Ncfsl	O
	tužioca	tužilac	Ncmsg	O
	BiH	BiH	Npmsn	B-loc
	.	.	Z	O
Sentence: 262	U	u	Sl	O
	martu	mart	Ncmsl	O
	,	,	Z	O
	u	u	Sl	O
	Sarajevu	Sarajevo	Npnsl	B-loc
	i	i	Cc	O
	Bugojnu	Bugojno	Npnsl	B-loc
	izvedena	izvesti	Appfsny	O
	je	biti	Var3s	O
	šira	širok	Agcfsny	O
	operacija	operacija	Ncfsn	O
	.	.	Z	O
Sentence: 263	Prva	prvi	Mlofsn	O
	akcija	akcija	Ncfsn	O
	rezultirala	rezultirati	Vmp-sf	O
	je	biti	Var3s	O
	hapšenjem	hapšenje	Ncnsi	O
	pet	pet	Mlc	O
	osumnjičenih	osumnjičiti	Appmpgy	O
	za	za	Sa	O
	terorizam	terorizam	Ncmsan	O
	.	.	Z	O
Sentence: 264	Jedan	jedan	Mlcmsn	O
	je	biti	Var3s	O
	pušten	pustiti	Appmsnn	O
	zbog	zbog	Sg	O
	nedostatka	nedostatak	Ncmsg	O
	dokaza	dokaz	Ncmpg	O
	.	.	Z	O
Sentence: 265	Ministarstvo	ministarstvo	Ncnsn	B-org
	unutrašnjih	unutrašnji	Agpmpgy	I-org
	poslova	posao	Ncmpg	I-org
	veruje	verovati	Vmr3s	O
	da	da	Cs	O
	je	biti	Var3s	O
	jedan	jedan	Mlcmsn	O
	od	od	Sg	O
	tih	taj	Pd-mpg	O
	pet	pet	Mlc	O
	osumnjičenih	osumnjičen	Agpmpgy	O
	,	,	Z	O
	Rijad	Rijad	Npmsn	B-per
	Rustempašić	Rustempašić	Npmsn	I-per
	,	,	Z	O
	bio	biti	Vap-sm	O
	vođa	vođa	Ncmsn	O
	,	,	Z	O
	dok	dok	Cs	O
	se	sebe	Px--sa	O
	drugi	drugi	Mlomsn	O
	,	,	Z	O
	Edis	Edis	Npmsn	B-per
	Velić	Velić	Npmsn	I-per
	,	,	Z	O
	navodno	navodno	Rgp	O
	borio	boriti	Vmp-sm	O
	u	u	Sa	O
	Čečeniji	Čečenija	Npfsl	B-loc
	.	.	Z	O
Sentence: 266	Policija	policija	Ncfsn	O
	je	biti	Var3s	O
	pretražila	pretražiti	Vmp-sf	O
	šest	šest	Mlc	O
	kuća	kuća	Ncfpg	O
	u	u	Sl	O
	martovskim	martovski	Agpfply	O
	akcijama	akcija	Ncfpl	O
	i	i	Cc	O
	pronašla	pronaći	Vmp-sf	O
	velike	velik	Agpfpay	O
	količine	količina	Ncfpa	O
	oružja	oružje	Ncnpg	O
	i	i	Cc	O
	vojne	vojni	Agpfsgy	O
	opreme	oprema	Ncfsg	O
	,	,	Z	O
	protivtenkovske	protivtenkovski	Agpfpay	O
	mine	mina	Ncfpa	O
	,	,	Z	O
	laserske	laserski	Agpmpay	O
	uređaje	uređaj	Ncmpa	O
	,	,	Z	O
	elektronsku	elektronski	Agpfsay	O
	opremu	oprema	Ncfsa	O
	,	,	Z	O
	mine	mina	Ncfpa	O
	iznenađenja	iznenađenje	Ncnpa	O
	,	,	Z	O
	topografske	topografski	Agpfpay	O
	mape	mapa	Ncfpa	O
	,	,	Z	O
	crteže	crtež	Ncmpa	O
	,	,	Z	O
	priručnike	priručnik	Ncmpa	O
	za	za	Sa	O
	proizvodnju	proizvodnja	Ncfsa	O
	eksplozivnih	eksplozivan	Agpmpgy	O
	uređaja	uređaj	Ncmpg	O
	,	,	Z	O
	detonatore	detonator	Ncmpa	O
	i	i	Cc	O
	druga	drugi	Mlonpa	O
	sredstva	sredstvo	Ncnpa	O
	korisna	koristan	Agpnpay	O
	za	za	Sa	O
	teroriste	terorista	Ncmpa	O
	.	.	Z	O
Sentence: 267	Svi	sav	Agpmpny	O
	osumnjičeni	osumnjičen	Agpmpny	O
	povezani	povezan	Agpmpny	O
	su	biti	Var3p	O
	sa	sa	Si	O
	pokretom	pokret	Ncmsi	O
	Vehabija	vehabija	Ncmsg	B-org
	u	u	Sl	O
	BiH	BiH	Npmsn	B-loc
	i	i	Cc	O
	pritvoreni	pritvoriti	Appmpny	O
	su	biti	Var3p	O
	zbog	zbog	Sg	O
	navodnih	navodni	Agpmpgy	O
	kontakata	kontakt	Ncmpg	O
	sa	sa	Si	O
	Mirsadom	Mirsad	Npmsi	B-per
	Bektaševićem	Bektašević	Npmsi	I-per
	,	,	Z	O
	koji	koji	Pi-msn	O
	je	biti	Var3s	O
	prošle	prošli	Agpfsgy	O
	godine	godina	Ncfsg	O
	osuđen	osuditi	Appmsnn	O
	na	na	Sa	O
	osam	osam	Mlc	O
	godina	godina	Ncfpg	O
	zatvora	zatvor	Ncmsg	O
	zbog	zbog	Sg	O
	učešća	učešće	Ncnsg	O
	u	u	Sl	O
	pripremi	priprema	Ncfsl	O
	terorističkih	teroristički	Agpfpgy	O
	akcija	akcija	Ncfpg	O
	.	.	Z	O
Sentence: 268	Edis	Edis	Npmsn	B-per
	Velić	Velić	Npmsn	I-per
	osuđen	osuditi	Appmsnn	O
	je	biti	Var3s	O
	zbog	zbog	Sg	O
	toga	taj	Pd-nsg	O
	što	što	Pi3n-n	O
	je	biti	Var3s	O
	prošle	prošli	Agpfsgy	O
	godine	godina	Ncfsg	O
	iz	iz	Sg	O
	vatrenog	vatren	Agpnsgy	O
	oružja	oružje	Ncnsg	O
	ubio	ubiti	Vmp-sm	O
	uličnog	ulični	Agpmsayy	O
	prodavca	prodavac	Ncmsay	O
	,	,	Z	O
	dok	dok	Cs	O
	je	biti	Var3s	O
	Rijad	Rijad	Npmsn	B-per
	Rustempašić	Rustempašić	Npmsn	I-per
	navodno	navodno	Rgp	O
	verni	veran	Agpmsny	O
	pristalica	pristalica	Ncmsn	O
	Jusufa	Jusuf	Npmsg	B-per
	Barčića	Barčić	Npmsg	I-per
	,	,	Z	O
	za	za	Sa	O
	koga	ko	Ncmsay	O
	se	sebe	Px--sa	O
	veruje	verovati	Vmr3s	O
	da	da	Cs	O
	je	biti	Var3s	O
	vođa	vođa	Ncmsn	O
	Vehabija	vehabija	Ncmpg	B-org
	u	u	Sl	O
	BiH	BiH	Npmsn	B-loc
	,	,	Z	O
	koji	koji	Pi-msn	O
	je	biti	Var3s	O
	prošle	prošli	Agpfsgy	O
	godine	godina	Ncfsg	O
	poginuo	poginuti	Vmp-sm	O
	u	u	Sl	O
	saobraćajnoj	saobraćajni	Agpfsly	O
	nesreći	nesreća	Ncfsl	O
	.	.	Z	O
Sentence: 269	Istraga	istraga	Ncfsn	O
	je	biti	Var3s	O
	otkrila	otkriti	Vmp-sf	O
	da	da	Cs	O
	su	biti	Var3p	O
	osumnjičeni	osumnjičen	Agpmpny	O
	,	,	Z	O
	kako	kako	Cs	O
	se	sebe	Px--sa	O
	veruje	verovati	Vmr3s	O
	,	,	Z	O
	planirali	planirati	Vmp-pm	O
	terorističke	teroristički	Agpfpay	O
	akcije	akcija	Ncfpa	O
	protiv	protiv	Sg	O
	katoličkih	katolički	Agpfpgy	O
	crkava	crkva	Ncfpg	O
	širom	širom	Sg	O
	BiH	BiH	Npmsn	B-loc
	.	.	Z	O
Sentence: 270	Akcija	akcija	Ncfsn	O
	Ministarstva	ministarstvo	Ncnsg	B-org
	unutrašnjih	unutrašnji	Agpmpgy	I-org
	poslova	posao	Ncmpg	I-org
	sprovedena	sprovesti	Appfsny	O
	je	biti	Var3s	O
	u	u	Sl	O
	saradnji	saradnja	Ncfsl	O
	sa	sa	Si	O
	Agencijom	agencija	Ncfsi	B-org
	za	za	Sa	I-org
	obaveštajnu	obaveštajan	Agpfsay	I-org
	bezbednost	bezbednost	Ncfsa	I-org
	i	i	Cc	O
	kancelarijom	kancelarija	Ncfsi	O
	državnog	državni	Agpmsgy	O
	tužioca	tužilac	Ncmsg	O
	BiH	BiH	Npfsg	O
	i	i	Cc	O
	usledila	uslediti	Vmp-sf	O
	je	biti	Var3s	O
	posle	posle	Sg	O
	višemesečne	višemesečni	Agpfsgy	O
	istrage	istraga	Ncfsg	O
	i	i	Cc	O
	praćenja	praćenje	Ncnsg	O
	.	.	Z	O
Sentence: 271	Kosovo	Kosovo	Npnsn	B-loc
	i	i	Cc	O
	Albanija	Albanija	Npfsn	B-loc
	rešavaju	rešavati	Vmr3p	O
	carinski	carinski	Agpmsayn	O
	nesporazum	nesporazum	Ncmsan	O
Sentence: 272	Carinska	carinski	Agpfsny	O
	saradnja	saradnja	Ncfsn	O
	između	između	Sg	O
	Albanije	Albanija	Npfsg	B-loc
	i	i	Cc	O
	Kosova	Kosovo	Npnsg	B-loc
	može	moći	Vmr3s	O
	da	da	Cs	O
	doprinese	doprineti	Vmr3s	O
	ekonomskom	ekonomski	Agpmsdy	O
	razvoju	razvoj	Ncmsd	O
	obe	oba	Pd-fsg	O
	zemlje	zemlja	Ncfsg	O
	.	.	Z	O
Sentence: 273	Linda	Linda	Npfsn	B-per
	Karadaku	Karadaku	Npfsn	I-per
	za	za	Sa	O
	Southeast	southeast	Xf	B-org
	European	european	Xf	I-org
	Times	times	Xf	I-org
	iz	iz	Sg	O
	Prištine	Priština	Npfsg	B-loc
	4.7.2011.	4.7.2011.	Mdm	O
Sentence: 274	Naim	Naim	Npmsn	B-per
	Huruglica	Huruglica	Npmsn	I-per
	,	,	Z	O
	direktor	direktor	Ncmsn	O
	Carinske	carinski	Agpfsgy	B-org
	službe	služba	Ncfsg	I-org
	Kosova	Kosovo	Npnsg	I-org
	.	.	Z	O
Sentence: 275	Na	na	Sl	O
	sastanku	sastanak	Ncmsl	O
	na	na	Sl	O
	kojem	koji	Pi-msl	O
	se	sebe	Px--sa	O
	razgovaralo	razgovarati	Vmp-sn	O
	o	o	Sl	O
	ekonomskoj	ekonomski	Agpfsly	O
	saradnji	saradnja	Ncfsl	O
	Kosova	Kosovo	Npnsg	B-loc
	i	i	Cc	O
	Albanije	Albanija	Npfsg	B-loc
	,	,	Z	O
	potpredsednica	potpredsednica	Ncfsn	O
	Vlade	vlada	Ncfsg	B-org
	Kosova	Kosovo	Npnsg	I-org
	Mimoza	Mimoza	Npfsn	B-per
	Kusari	Kusari	Npfsn	I-per
	Lila	Lila	Npfsn	I-per
	i	i	Cc	O
	albanski	albanski	Agpmsny	O
	premijer	premijer	Ncmsn	O
	Sali	Sali	Npmsn	B-per
	Beriša	Beriša	Npmsn	I-per
	odlučili	odlučiti	Vmp-pm	O
	su	biti	Var3p	O
	da	da	Cs	O
	ukinu	ukinuti	Vmr3p	O
	carinske	carinski	Agpfpay	O
	dažbine	dažbina	Ncfpa	O
	koje	koji	Pi-fpn	O
	frustriraju	frustrirati	Vmr3p	O
	kosovske	kosovski	Agpmpay	O
	izvoznike	izvoznik	Ncmpa	O
	.	.	Z	O
Sentence: 276	Takođe	takođe	Rgp	O
	je	biti	Var3s	O
	razgovarano	razgovarati	Appnsny	O
	o	o	Sl	O
	izgradnji	izgradnja	Ncfsl	O
	34	34	Mdc	O
	kilometara	kilometar	Ncmpg	O
	puta	put	Ncmsg	O
	od	od	Sg	O
	Fijerze	Fijerza	Npfsg	B-loc
	do	do	Sg	O
	Komana	Koman	Npmsg	B-loc
	u	u	Sl	O
	severnoj	severni	Agpfsly	O
	Albaniji	Albanija	Npfsl	B-loc
	.	.	Z	O
Sentence: 277	Beriša	Beriša	Npmsn	B-per
	je	biti	Var3s	O
	rekao	reći	Vmp-sm	O
	da	da	Cs	O
	će	hteti	Var3s	O
	se	sebe	Px--sa	O
	prestati	prestati	Vmn	O
	da	da	Cs	O
	se	sebe	Px--sa	O
	primenjuju	primenjivati	Vmr3p	O
	sadašnje	sadašnje	Rgp	O
	carinske	carinski	Agpfsgy	O
	dažbine	dažbina	Ncfsg	O
	,	,	Z	O
	što	što	Pi3n-n	O
	je	biti	Var3s	O
	potvrdio	potvrditi	Vmp-sm	O
	i	i	Cc	O
	direktor	direktor	Ncmsn	O
	Albanske	albanski	Agpfsgy	B-org
	carine	carina	Ncfsg	I-org
	Flamur	Flamur	Npmsn	B-per
	Đumiška	Đumiška	Npmsn	I-per
	.	.	Z	O
Sentence: 278	Direktor	direktor	Ncmsn	O
	Carinske	carinski	Agpfsgy	B-org
	službe	služba	Ncfsg	I-org
	Kosova	Kosovo	Npnsg	I-org
	Naim	Naim	Npmsn	B-per
	Huruglica	Huruglica	Npmsn	I-per
	govorio	govoriti	Vmp-sm	O
	je	biti	Var3s	O
	za	za	Sa	O
	SETimes	SETimes	Xf	B-org
	o	o	Sl	O
	problemu	problem	Ncmsl	O
	između	između	Sg	O
	dve	dva	Mlcf-n	O
	vlade	vlada	Ncfsg	O
	,	,	Z	O
	potvrđujući	potvrđivati	Rr	O
	da	da	Cs	O
	je	biti	Var3s	O
	rešenje	rešenje	Ncnsn	O
	na	na	Sa	O
	dohvat	dohvat	Ncmsan	O
	ruke	ruka	Ncfsg	O
	i	i	Cc	O
	da	da	Cs	O
	statistika	statistika	Ncfsn	O
	pokazuje	pokazivati	Vmr3s	O
	povećanje	povećanje	Ncnsa	O
	bilateralne	bilateralan	Agpfsgy	O
	trgovine	trgovina	Ncfsg	O
	.	.	Z	O
Sentence: 279	SETimes	setimes	Xf	B-org
	:	:	Z	O
	U	u	Sl	O
	kojoj	koji	Pq-fsl	O
	je	biti	Var3s	O
	fazi	faza	Ncfsl	O
	sada	sada	Rgp	O
	pitanje	pitanje	Ncnsn	O
	carina	carina	Ncfpg	O
	i	i	Cc	O
	taksi	taksi	Ncmsn	O
	između	između	Sg	O
	Kosova	Kosovo	Npnsg	B-loc
	i	i	Cc	O
	Albanije	Albanija	Npfsg	B-loc
	?	?	Z	O
Sentence: 280	Huruglica	Huruglica	Npmsn	B-per
	:	:	Z	O
	Ne	ne	Qz	O
	postoji	postojati	Vmr3s	O
